Year,F,F_MFMT,SSB,SSB_SSB_SPR26,SSB_MSST_old,SSB_MSST_new,SSB_SSB0
1908,0.004,0.067,2.42E+15,1.97,2.16,3.94,0.51
1909,0.003,0.057,2.41E+15,1.96,2.16,3.92,0.51
1910,0.003,0.048,2.41E+15,1.96,2.15,3.92,0.51
1911,0.003,0.048,2.41E+15,1.96,2.15,3.92,0.51
1912,0.003,0.047,2.42E+15,1.96,2.16,3.93,0.51
1913,0.003,0.047,2.42E+15,1.97,2.17,3.94,0.51
1914,0.003,0.046,2.43E+15,1.98,2.17,3.95,0.52
1915,0.003,0.046,2.44E+15,1.99,2.18,3.97,0.52
1916,0.003,0.046,2.45E+15,1.99,2.19,3.99,0.52
1917,0.003,0.044,2.46E+15,2,2.2,4,0.52
1918,0.003,0.044,2.47E+15,2.01,2.21,4.02,0.52
1919,0.003,0.047,2.48E+15,2.02,2.22,4.03,0.53
1920,0.003,0.051,2.49E+15,2.02,2.22,4.05,0.53
1921,0.003,0.054,2.50E+15,2.03,2.23,4.06,0.53
1922,0.003,0.058,2.50E+15,2.03,2.23,4.06,0.53
1923,0.004,0.062,2.50E+15,2.03,2.23,4.07,0.53
1924,0.004,0.061,2.50E+15,2.03,2.23,4.06,0.53
1925,0.004,0.061,2.50E+15,2.03,2.23,4.06,0.53
1926,0.003,0.059,2.49E+15,2.03,2.23,4.05,0.53
1927,0.004,0.067,2.49E+15,2.02,2.22,4.05,0.53
1928,0.003,0.058,2.48E+15,2.02,2.22,4.04,0.53
1929,0.004,0.061,2.48E+15,2.02,2.22,4.03,0.53
1930,0.003,0.043,2.48E+15,2.01,2.21,4.03,0.53
1931,0.002,0.04,2.48E+15,2.02,2.22,4.03,0.53
1932,0.003,0.043,2.49E+15,2.02,2.22,4.04,0.53
1933,0.002,0.04,2.49E+15,2.02,2.22,4.05,0.53
1934,0.002,0.037,2.50E+15,2.03,2.23,4.06,0.53
1935,0.003,0.048,2.50E+15,2.04,2.24,4.07,0.53
1936,0.003,0.057,2.51E+15,2.04,2.24,4.08,0.53
1937,0.003,0.054,2.51E+15,2.04,2.24,4.08,0.53
1938,0.004,0.064,2.51E+15,2.04,2.24,4.08,0.53
1939,0.004,0.07,2.50E+15,2.03,2.24,4.07,0.53
1940,0.003,0.052,2.49E+15,2.03,2.23,4.05,0.53
1941,0.003,0.048,2.49E+15,2.02,2.22,4.04,0.53
1942,0.002,0.037,2.49E+15,2.02,2.22,4.04,0.53
1943,0.002,0.029,2.49E+15,2.02,2.22,4.04,0.53
1944,0.002,0.03,2.49E+15,2.03,2.23,4.05,0.53
1945,0.001,0.024,2.50E+15,2.03,2.23,4.06,0.53
1946,0.003,0.049,2.51E+15,2.04,2.24,4.08,0.53
1947,0.005,0.09,2.51E+15,2.04,2.24,4.08,0.53
1948,0.01,0.169,2.51E+15,2.04,2.24,4.08,0.53
1949,0.015,0.255,2.51E+15,2.04,2.24,4.07,0.53
1950,0.023,0.388,2.50E+15,2.03,2.23,4.06,0.53
1951,0.025,0.428,2.46E+15,2,2.2,4.01,0.52
1952,0.029,0.497,2.42E+15,1.97,2.16,3.93,0.51
1953,0.029,0.5,2.36E+15,1.92,2.11,3.84,0.5
1954,0.036,0.611,2.30E+15,1.87,2.05,3.74,0.49
1955,0.034,0.578,2.23E+15,1.81,1.99,3.62,0.47
1956,0.042,0.718,2.15E+15,1.75,1.92,3.5,0.46
1957,0.049,0.837,2.06E+15,1.68,1.84,3.35,0.44
1958,0.069,1.181,1.97E+15,1.6,1.76,3.21,0.42
1959,0.074,1.267,1.86E+15,1.51,1.66,3.03,0.39
1960,0.078,1.327,1.75E+15,1.42,1.56,2.84,0.37
1961,0.069,1.176,1.63E+15,1.32,1.45,2.65,0.35
1962,0.069,1.173,1.51E+15,1.22,1.34,2.45,0.32
1963,0.075,1.282,1.38E+15,1.12,1.23,2.25,0.29
1964,0.074,1.263,1.27E+15,1.03,1.13,2.06,0.27
1965,0.082,1.398,1.16E+15,0.94,1.03,1.88,0.25
1966,0.084,1.427,1.05E+15,0.85,0.94,1.7,0.22
1967,0.1,1.706,9.49E+14,0.77,0.85,1.54,0.2
1968,0.097,1.651,8.51E+14,0.69,0.76,1.38,0.18
1969,0.114,1.946,7.53E+14,0.61,0.67,1.23,0.16
1970,0.112,1.9,6.64E+14,0.54,0.59,1.08,0.14
1971,0.119,2.016,5.76E+14,0.47,0.51,0.94,0.12
1972,0.119,2.028,4.86E+14,0.39,0.43,0.79,0.1
1973,0.096,1.625,3.99E+14,0.32,0.36,0.65,0.08
1974,0.108,1.831,3.31E+14,0.27,0.3,0.54,0.07
1975,0.11,1.868,3.04E+14,0.25,0.27,0.49,0.06
1976,0.11,1.874,2.85E+14,0.23,0.25,0.46,0.06
1977,0.097,1.655,2.56E+14,0.21,0.23,0.42,0.05
1978,0.11,1.878,2.26E+14,0.18,0.2,0.37,0.05
1979,0.13,2.205,1.98E+14,0.16,0.18,0.32,0.04
1980,0.091,1.554,1.73E+14,0.14,0.15,0.28,0.04
1981,0.106,1.811,1.47E+14,0.12,0.13,0.24,0.03
1982,0.091,1.541,1.21E+14,0.1,0.11,0.2,0.03
1983,0.113,1.913,1.10E+14,0.09,0.1,0.18,0.02
1984,0.102,1.738,1.06E+14,0.09,0.09,0.17,0.02
1985,0.128,2.175,1.12E+14,0.09,0.1,0.18,0.02
1986,0.133,2.255,1.18E+14,0.1,0.11,0.19,0.02
1987,0.119,2.023,1.17E+14,0.1,0.1,0.19,0.02
1988,0.139,2.369,1.13E+14,0.09,0.1,0.18,0.02
1989,0.122,2.076,1.02E+14,0.08,0.09,0.17,0.02
1990,0.095,1.61,9.53E+13,0.08,0.09,0.16,0.02
1991,0.122,2.074,9.88E+13,0.08,0.09,0.16,0.02
1992,0.123,2.096,1.09E+14,0.09,0.1,0.18,0.02
1993,0.136,2.305,1.21E+14,0.1,0.11,0.2,0.03
1994,0.118,2.006,1.29E+14,0.1,0.12,0.21,0.03
1995,0.095,1.614,1.38E+14,0.11,0.12,0.22,0.03
1996,0.084,1.436,1.47E+14,0.12,0.13,0.24,0.03
1997,0.111,1.882,1.55E+14,0.13,0.14,0.25,0.03
1998,0.103,1.746,1.60E+14,0.13,0.14,0.26,0.03
1999,0.098,1.66,1.73E+14,0.14,0.15,0.28,0.04
2000,0.086,1.467,1.85E+14,0.15,0.17,0.3,0.04
2001,0.088,1.489,1.92E+14,0.16,0.17,0.31,0.04
2002,0.119,2.027,1.94E+14,0.16,0.17,0.32,0.04
2003,0.104,1.769,1.93E+14,0.16,0.17,0.31,0.04
2004,0.102,1.728,1.98E+14,0.16,0.18,0.32,0.04
2005,0.07,1.193,1.95E+14,0.16,0.17,0.32,0.04
2006,0.052,0.884,2.05E+14,0.17,0.18,0.33,0.04
2007,0.04,0.676,2.22E+14,0.18,0.2,0.36,0.05
2008,0.029,0.493,2.51E+14,0.2,0.22,0.41,0.05
2009,0.045,0.774,3.11E+14,0.25,0.28,0.51,0.07
2010,0.037,0.627,3.94E+14,0.32,0.35,0.64,0.08
2011,0.053,0.908,5.05E+14,0.41,0.45,0.82,0.11
2012,0.045,0.768,5.78E+14,0.47,0.52,0.94,0.12
2013,0.041,0.69,6.57E+14,0.53,0.59,1.07,0.14
2014,0.041,0.699,7.19E+14,0.58,0.64,1.17,0.15
2015,0.052,0.892,7.96E+14,0.65,0.71,1.29,0.17
2016,0.052,0.877,8.67E+14,0.7,0.77,1.41,0.18
2017,0.065,1.11,9.32E+14,0.76,0.83,1.52,0.2
2018,0.064,1.08,9.53E+14,0.77,0.85,1.55,0.2
2019,0.062,1.05,9.76E+14,0.79,0.87,1.59,0.21
2020,0.06,1.03,9.95E+14,0.81,0.89,1.62,0.21
2021,0.06,1.02,1.01E+15,0.82,0.9,1.64,0.21
2022,0.059,1.01,1.03E+15,0.83,0.92,1.67,0.22
2023,0.059,1.01,1.04E+15,0.85,0.93,1.69,0.22
2024,0.059,1.01,1.06E+15,0.86,0.94,1.72,0.22
2025,0.059,1,1.07E+15,0.87,0.96,1.74,0.23
2026,0.059,1,1.08E+15,0.88,0.97,1.76,0.23
2027,0.059,1,1.09E+15,0.89,0.98,1.78,0.23
2028,0.059,1,1.11E+15,0.9,0.99,1.8,0.23
2029,0.059,1,1.12E+15,0.91,1,1.81,0.24
2030,0.059,1,1.12E+15,0.91,1.01,1.83,0.24
2031,0.059,1,1.13E+15,0.92,1.01,1.84,0.24
2032,0.059,1,1.14E+15,0.93,1.02,1.86,0.24
